tag,difficulty,problem_id,title,url
Union-Find-Tree,1015,abc229_e,E. Graph Destruction,https://atcoder.jp/contests/abc229/tasks/abc229_e
Union-Find-Tree,1030,abc352_e,E. Clique Connect,https://atcoder.jp/contests/abc352/tasks/abc352_e
Union-Find-Tree,1042,abc372_e,E. K-th Largest Connected Components,https://atcoder.jp/contests/abc372/tasks/abc372_e
Union-Find-Tree,1058,abc276_e,E. Round Trip,https://atcoder.jp/contests/abc276/tasks/abc276_e
Union-Find-Tree,1067,abc075_c,C. Bridge,https://atcoder.jp/contests/abc075/tasks/abc075_c
Union-Find-Tree,1160,abc328_e,E. Modulo MST,https://atcoder.jp/contests/abc328/tasks/abc328_e
Union-Find-Tree,1195,abc334_e,E. Christmas Color Grid 1,https://atcoder.jp/contests/abc334/tasks/abc334_e
Union-Find-Tree,1208,abc157_d,D. Friend Suggestions,https://atcoder.jp/contests/abc157/tasks/abc157_d
Union-Find-Tree,1229,abc264_e,E. Blackout 2,https://atcoder.jp/contests/abc264/tasks/abc264_e
Union-Find-Tree,1230,abc380_e,E. 1D Bucket Tool,https://atcoder.jp/contests/abc380/tasks/abc380_e
Union-Find-Tree,1304,abc235_e,E. MST + 1,https://atcoder.jp/contests/abc235/tasks/abc235_e
Union-Find-Tree,1327,abc226_e,E. Just one,https://atcoder.jp/contests/abc226/tasks/abc226_e
Union-Find-Tree,1340,abc126_e,E. 1 or 2,https://atcoder.jp/contests/abc126/tasks/abc126_e
Union-Find-Tree,1341,abc214_d,D. Sum of Maximum Weights,https://atcoder.jp/contests/abc214/tasks/abc214_d
Union-Find-Tree,1355,abc120_d,D. Decayed Bridges,https://atcoder.jp/contests/abc120/tasks/abc120_d
Union-Find-Tree,1577,abc238_e,E. Range Sums,https://atcoder.jp/contests/abc238/tasks/abc238_e
Union-Find-Tree,1656,abc040_d,D. 道路の老朽化対策について,https://atcoder.jp/contests/abc040/tasks/abc040_d
Union-Find-Tree,1690,abc219_e,E. Moat,https://atcoder.jp/contests/abc219/tasks/abc219_e
Union-Find-Tree,1697,abc247_f,F. Cards,https://atcoder.jp/contests/abc247/tasks/abc247_f
Union-Find-Tree,1777,abc279_f,F. BOX,https://atcoder.jp/contests/abc279/tasks/abc279_f
Union-Find-Tree,1937,abc131_f,F. Must Be Rectangular!,https://atcoder.jp/contests/abc131/tasks/abc131_f
WaveletMatrix,503,abc234_d,D. Prefix K-th Max,https://atcoder.jp/contests/abc234/tasks/abc234_d
WaveletMatrix,1084,abc239_e,E. Subtree K-th Max,https://atcoder.jp/contests/abc239/tasks/abc239_e
WaveletMatrix,1334,abc281_e,E. Least Elements,https://atcoder.jp/contests/abc281/tasks/abc281_e
WaveletMatrix,1580,abc231_f,F. Jealous Two,https://atcoder.jp/contests/abc231/tasks/abc231_f
WaveletMatrix,1792,abc339_g,G. Smaller Sum,https://atcoder.jp/contests/abc339/tasks/abc339_g
deque,544,abc237_d,D. LR insertion,https://atcoder.jp/contests/abc237/tasks/abc237_d
deque,610,abc158_d,D. String Formation,https://atcoder.jp/contests/abc158/tasks/abc158_d
deque,1476,abc246_e,E. Bishop 2,https://atcoder.jp/contests/abc246/tasks/abc246_e
map,-503,abc241_b,B. Pasta,https://atcoder.jp/contests/abc241/tasks/abc241_b
map,-104,abc159_c,C. Maximum Volume,https://atcoder.jp/contests/abc159/tasks/abc159_c
map,-75,abc295_c,C. Socks,https://atcoder.jp/contests/abc295/tasks/abc295_c
map,-34,abc314_b,B. Roulette,https://atcoder.jp/contests/abc314/tasks/abc314_b
map,79,abc261_c,C. NewFolder(1),https://atcoder.jp/contests/abc261/tasks/abc261_c
map,97,abc291_c,C. LRUD Instructions 2,https://atcoder.jp/contests/abc291/tasks/abc291_c
map,189,abc155_c,C. Poll,https://atcoder.jp/contests/abc155/tasks/abc155_c
map,210,abc235_c,C. The Kth Time Query,https://atcoder.jp/contests/abc235/tasks/abc235_c
map,243,abc044_b,B. Beautiful Strings,https://atcoder.jp/contests/abc044/tasks/abc044_b
map,310,abc091_b,B. Two Colors Card Game,https://atcoder.jp/contests/abc091/tasks/abc091_b
map,357,abc210_c,C. Colorful Candies,https://atcoder.jp/contests/abc210/tasks/abc210_c
map,409,abc243_c,C. Collision 2,https://atcoder.jp/contests/abc243/tasks/abc243_c
map,422,abc343_d,D. Diversity of Scores,https://atcoder.jp/contests/abc343/tasks/abc343_d
map,454,abc073_c,C. Write and Erase,https://atcoder.jp/contests/abc073/tasks/abc073_c
map,469,abc345_c,C. One Time Swap,https://atcoder.jp/contests/abc345/tasks/abc345_c
map,498,abc171_d,D. Replacing,https://atcoder.jp/contests/abc171/tasks/abc171_d
map,505,abc342_c,C. Many Replacement,https://atcoder.jp/contests/abc342/tasks/abc342_c
map,597,abc137_c,C. Green Bin,https://atcoder.jp/contests/abc137/tasks/abc137_c
map,601,abc008_2,B. 投票,https://atcoder.jp/contests/abc008/tasks/abc008_2
map,668,abc003_2,B. AtCoderトランプ,https://atcoder.jp/contests/abc003/tasks/abc003_2
map,726,abc233_d,D. Count Interval,https://atcoder.jp/contests/abc233/tasks/abc233_d
map,944,abc342_d,D. Square Pair,https://atcoder.jp/contests/abc342/tasks/abc342_d
map,1015,abc304_d,D. A Piece of Cake,https://atcoder.jp/contests/abc304/tasks/abc304_d
map,1062,abc166_e,E. This Message Will Self-Destruct in 5s,https://atcoder.jp/contests/abc166/tasks/abc166_e
map,1458,abc105_d,D. Candy Distribution,https://atcoder.jp/contests/abc105/tasks/abc105_d
map,1752,abc023_c,C. 収集王,https://atcoder.jp/contests/abc023/tasks/abc023_c
map,1762,abc146_e,E. Rem of Sum is Num,https://atcoder.jp/contests/abc146/tasks/abc146_e
multiset,963,abc230_d,D. Destroyer Takahashi,https://atcoder.jp/contests/abc230/tasks/abc230_d
multiset,1177,abc241_d,D. Sequence Query,https://atcoder.jp/contests/abc241/tasks/abc241_d
multiset,1268,abc306_e,E. Best Performances,https://atcoder.jp/contests/abc306/tasks/abc306_e
multiset,1334,abc281_e,E. Least Elements,https://atcoder.jp/contests/abc281/tasks/abc281_e
multiset,1502,abc170_e,E. Smart Infants,https://atcoder.jp/contests/abc170/tasks/abc170_e
multiset,1571,abc245_e,E. Wrapping Chocolate,https://atcoder.jp/contests/abc245/tasks/abc245_e
multiset,1873,abc140_e,E. Second Sum,https://atcoder.jp/contests/abc140/tasks/abc140_e
priority_queue,503,abc234_d,D. Prefix K-th Max,https://atcoder.jp/contests/abc234/tasks/abc234_d
priority_queue,775,abc212_d,D. Querying Multiset,https://atcoder.jp/contests/abc212/tasks/abc212_d
priority_queue,823,abc141_d,D. Powerful Discount Tickets,https://atcoder.jp/contests/abc141/tasks/abc141_d
priority_queue,1069,abc223_d,D. Restricted Permutation,https://atcoder.jp/contests/abc223/tasks/abc223_d
priority_queue,1176,abc297_e,E. Kth Takoyaki Set,https://atcoder.jp/contests/abc297/tasks/abc297_e
priority_queue,1313,abc137_d,D. Summer Vacation,https://atcoder.jp/contests/abc137/tasks/abc137_d
priority_queue,1383,abc080_d,D. Recording,https://atcoder.jp/contests/abc080/tasks/abc080_d
priority_queue,1476,abc246_e,E. Bishop 2,https://atcoder.jp/contests/abc246/tasks/abc246_e
priority_queue,1489,abc123_d,D. Cake 123,https://atcoder.jp/contests/abc123/tasks/abc123_d
priority_queue,1835,abc214_e,E. Packing Under Range Regulations,https://atcoder.jp/contests/abc214/tasks/abc214_e
queue,468,abc247_d,D. Cylinder,https://atcoder.jp/contests/abc247/tasks/abc247_d
queue,745,abc379_d,D. Home Garden,https://atcoder.jp/contests/abc379/tasks/abc379_d
queue,840,abc005_3,C. おいしいたこ焼きの売り方,https://atcoder.jp/contests/abc005/tasks/abc005_3
queue,1039,abc216_d,D. Pair of Balls,https://atcoder.jp/contests/abc216/tasks/abc216_d
set,-864,abc211_b,B. Cycle Hit,https://atcoder.jp/contests/abc211/tasks/abc211_b
set,-819,abc240_b,B. Count Distinct Integers,https://atcoder.jp/contests/abc240/tasks/abc240_b
set,-523,abc245_b,B. Mex,https://atcoder.jp/contests/abc245/tasks/abc245_b
set,-333,abc154_c,C. Distinct or Not,https://atcoder.jp/contests/abc154/tasks/abc154_c
set,-328,abc293_b,B. Call the ID Number,https://atcoder.jp/contests/abc293/tasks/abc293_b
set,-245,abc236_c,C. Route Map,https://atcoder.jp/contests/abc236/tasks/abc236_c
set,-241,abc164_c,C. gacha,https://atcoder.jp/contests/abc164/tasks/abc164_c
set,-106,abc085_b,B. Kagami Mochi,https://atcoder.jp/contests/abc085/tasks/abc085_b
set,38,abc296_c,C. Gap Existence,https://atcoder.jp/contests/abc296/tasks/abc296_c
set,46,abc244_c,C. Yamanote Line Game,https://atcoder.jp/contests/abc244/tasks/abc244_c
set,93,abc109_b,B. Shiritori,https://atcoder.jp/contests/abc109/tasks/abc109_b
set,107,abc226_b,B. Counting Arrays,https://atcoder.jp/contests/abc226/tasks/abc226_b
set,131,abc344_c,C. A+B+C,https://atcoder.jp/contests/abc344/tasks/abc344_c
set,205,abc251_c,C. Poem Online Judge,https://atcoder.jp/contests/abc251/tasks/abc251_c
set,320,abc278_c,C. FF,https://atcoder.jp/contests/abc278/tasks/abc278_c
set,358,abc098_b,B. Cut and Count,https://atcoder.jp/contests/abc098/tasks/abc098_b
set,391,abc021_b,B. 嘘つきの高橋くん,https://atcoder.jp/contests/abc021/tasks/abc021_b
set,454,abc073_c,C. Write and Erase,https://atcoder.jp/contests/abc073/tasks/abc073_c
set,621,abc022_b,B. Bumble Bee,https://atcoder.jp/contests/abc022/tasks/abc022_b
set,672,abc032_b,B. 高橋君とパスワード,https://atcoder.jp/contests/abc032/tasks/abc032_b
set,1035,abc228_d,D. Linear Probing,https://atcoder.jp/contests/abc228/tasks/abc228_d
set,1074,abc260_d,D. Draw Your Cards,https://atcoder.jp/contests/abc260/tasks/abc260_d
set,1129,abc019_3,C. 高橋くんと魔法の箱,https://atcoder.jp/contests/abc019/tasks/abc019_3
set,1207,abc329_f,F. Colored Ball,https://atcoder.jp/contests/abc329/tasks/abc329_f
set,1421,abc250_e,E. Prefix Equality,https://atcoder.jp/contests/abc250/tasks/abc250_e
